Symbol,Name,LastSale,NetChange,NetChangeDirection,PercentChange,1YrPercentChange
"BTEC","Principal Healthcare Innovators Index ETF","32.9568","0","unch","0","-10.08"
"BUL","Pacer US Cash Cows Growth ETF","24.7438","0","unch","0","-0.78"
"BUY","USCF SummerHaven SHPEI Index Fund","19.9103","0","unch","0","-28.64"
"BUYN","USCF SummerHaven SHPEN Index Fund","15.6703","0","unch","0","-41.51"
"BVAL","Brand Value ETF","17.08","0.019","up","0.11","5.06"
"CACG","ClearBridge All Cap Growth ETF","32.455","0.157","up","0.49","3.92"
"CARZ","First Trust NASDAQ Global Auto Index Fund","33.1535","0.1335","up","0.4","-5.66"
"CATH","Global X S&P 500 Catholic Values ETF","36.85","0.1748","up","0.48","2.3"
"CCOR","Cambria Core Equity ETF","27.3424","0.0649","up","0.24","6.8"
"CEZ","VictoryShares Emerging Market Volatility Wtd ETF","25.06","0","unch","0","-4.2"
"CHEP","AGFiQ U.S. Market Neutral Value Fund","20.6","-0.0252","down","0.12","-9.89"
"CHGX","Change Finance U.S. Large Cap Fossil Fuel Free ETF","22.0147","0.144","up","0.66","7.47"
"CLIX","ProShares Long Online/Short Stores ETF","50.7378","0.337","up","0.67","7.12"
"CLRG","IQ Chaikin U.S. Large Cap ETF","25.34","0.1027","up","0.41","-3.19"
"CSM","ProShares Trust","71.76","0.08","up","0.11","0.06"
"CURE","Direxion Daily Healthcare Bull 3X Shares","53.38","0.47","up","0.89","-12.18"
"CWS","AdvisorShares Focused Equity ETF","35.47","0.2771","up","0.79","2.51"
"CZA","Invesco Zacks Mid-Cap ETF","73.0967","0.1089","up","0.15","6.54"
"QABA","First Trust NASDAQ ABA Community Bank Index Fund","48.722","0.032","up","0.07","-13.73"
"QARP","Xtrackers Russell 1000 US Quality at a Reasonable Price ETF ET","28.16","0.2729","up","0.98","2.71"
"QDEF","FlexShares Quality Dividend Defensive Index Fund","45.9965","-0.0435","down","0.09","-2.23"
"QDF","FlexShares Quality Dividend Index Fund","45.8969","-0.0431","down","0.09","-3.28"
"QDIV","Global X Funds","25.4554","-0.1003","down","0.39","-1.18"
"QDYN","FlexShares Quality Dynamic Index Fund","44.73","-0.1418","down","0.32","-0.8"
"QGRO","American Century STOXX U.S. Quality Growth ETF","41.7","0.3232","up","0.78","2.75"
"QID","ProShares UltraShort QQQ","28.7536","-0.4064","down","1.39","-20.44"
"QLC","FlexShares US Quality Large Cap Index Fund","34.59","0.2032","up","0.59","-3.22"
"QLD","ProShares Ultra QQQ","101.8","1.42","up","1.41","2.83"
"QLV","FlexShares US Quality Low Volatility Index Fund","40.52","0.2366","up","0.59","0.92"
"QQEW","First Trust NASDAQ-100 Equal Weighted Index Fund","68.39","0.25","up","0.37","8.69"
"QQQ","Invesco QQQ Trust, Series 1","193.84","1.41","up","0.73","5.08"
