Symbol,Name,LastSale,NetChange,NetChangeDirection,PercentChange,1YrPercentChange
"MFUS","PIMCO Equitiy Series PIMCO RAFI Dynamic Multi-Factor U.S. Equi","30.35","0.3104","up","1.03","1.11"
"MGC","Vanguard Mega Cap ETF","104.345","0.455","up","0.44","4.11"
"MGK","Vanguard Mega Cap Growth ETF","135.0386","1.1586","up","0.87","5.83"
"MGV","Vanguard Mega Cap Value ETF","81.905","0.045","up","0.05","2.43"
"MIDU","Direxion Mid Cap Bull 3X Shares","42.61","-0.54","down","1.25","-20.4"
"MIDZ","Direxion Mid Cap Bear 3X Shares","49.52","0.65","up","1.33","-5.11"
"MILN","Global X Millennials Thematic ETF","25.3706","0.1606","up","0.64","6.64"
"MLPA","Global X MLP ETF","8.31","-0.08","down","0.95","-14.99"
"MLPE","Citigroup Inc.","19.71","0.0073","up","0.04","-12.39"
"MLPG","UBS AG","20.15","-0.2254","down","1.11","-19.46"
"MLPI","ETRACS 2X Wells Fargo - BDCI","20.86","-0.14","down","0.67","-15.25"
"MLPX","Global X MLP & Energy Infrastructure ETF","12.2157","-0.0543","down","0.44","-9.98"
"MLPY","Morgan Stanley","5.4345","0.0045","up","0.08","-19.67"
"MMTM","SPDR S&P 1500 Momentum Tilt ETF","130.793","0","unch","0","2.42"
"MOAT","VanEck Vectors Morningstar Wide Moat ETF","50.73","-0.02","down","0.04","10.04"
"MOM","AGFiQ U.S. Market Neutral Momentum Fund","24.07","0.335","up","1.41","-6.52"
"MSUS","ETF Series Solutions","24.6716","0","unch","0","-5.73"
"MVV","ProShares Ultra MidCap400","41.03","-0.2","down","0.49","-10.66"
"MXDU","Nationwide Maximum Diversification U.S. Core Equity ETF","29.6618","0","unch","0","0.41"
"MYY","ProShares Short MidCap400","42.02","-0.0584","down","0.14","0.98"
"MZZ","ProShares UltraShort MidCap400","15.7927","0.088","up","0.56","-0.92"
"NACP","Impact Shares Trust I Impact Shares NAACP Minority Empowerment","21.6939","0","unch","0","6.24"
"NAIL","Direxion Daily Homebuilders & Supplies Bull 3X Shares","60.8063","1.2063","up","2.02","14.03"
"NFO","Invesco Insider Sentiment ETF","70.067","0","unch","0","5.02"
"NRGD","Bank Of Montreal","48.7388","0","unch","0","0.57"
"NRGO","Bank Of Montreal","45.5333","0","unch","0","-10.71"
"NRGU","Bank Of Montreal","41.873","0","unch","0","-18.68"
"NRGZ","Bank Of Montreal","50.215","0","unch","0","2.53"
"NULG","NuShares Enhanced Yield US Aggregate Bond ETF","38.44","0.23","up","0.6","3.69"
"NULV","NuShares Enhanced Yield US Aggregate Bond ETF","31.29","0.0752","up","0.24","2.99"
"NUMG","NuShares Enhanced Yield US Aggregate Bond ETF","33.2665","0.1049","up","0.32","-3.26"
"NUMV","NuShares Enhanced Yield US Aggregate Bond ETF","29.1499","-0.0459","down","0.16","1.34"
"NURE","NuShares Enhanced Yield US Aggregate Bond ETF","30.4582","-0.0918","down","0.3","9.26"
"NUSC","NuShares Enhanced Yield US Aggregate Bond ETF","29.77","-0.07","down","0.23","-6.95"
"OEF","iShares S&P 100 ETF","133.83","0.56","up","0.42","3.66"
"OIH","VanEck Vectors Oil Services ETF","12.8","-0.35","down","2.66","-44.61"
"OMFL","Oppenheimer ETF Trust","31.57","-0.22","down","0.69","10.54"
"OMFS","Oppenheimer ETF Trust","28.2456","0","unch","0","-1.69"
"OMOM","Oppenheimer ETF Trust","29.17","0.1666","up","0.57","2.16"
"ONEQ","Fidelity Nasdaq Composite Index Tracking Stock","323.36","2","up","0.62","2.7"
"ONLN","ProShares Online Retail ETF","36.04","-0.1267","down","0.35","-5.62"
"OQAL","Oppenheimer ETF Trust","29.4719","0","unch","0","3.85"
"OSCV","Opus Small Cap Value ETF","26.078","0","unch","0","0.84"
"OSIZ","Oppenheimer ETF Trust","28.3211","0","unch","0","-0.03"
"OUSA","O'Shares FTSE U.S. Quality Dividend ETF","34.9928","0.1045","up","0.3","7.32"
"OUSM","O'Shares FTSE Russell Small Cap Quality Dividend ETF","28.35","0.0368","up","0.13","-2.06"
"OVLU","Oppenheimer ETF Trust","27.77","0.0314","up","0.11","1.38"
"OVOL","Oppenheimer ETF Trust","29.9889","0.1618","up","0.54","9.38"
"OYLD","Oppenheimer ETF Trust","27.57","-0.0386","down","0.14","3.75"
"PAVE","Global X Funds","16.3335","-0.0265","down","0.16","-4.5"
"PBE","Invesco Dynamic Biotech & Genome ETF","49.8067","-0.3852","down","0.77","-13.66"
"PBJ","Invesco Dynamic Food & Beverage ETF","35.675","0.245","up","0.69","5.67"
"PBP","Invesco S&P 500 BuyWrite ETF","21.839","0.029","up","0.13","-3.84"
"PBS","Invesco Dynamic Media ETF","32.81","0.12","up","0.37","1.71"
"PBSM","Invesco Exchange-Traded Fund Trust II","27.2054","0","unch","0","-9.32"
"PBUS","Invesco Exchange-Traded Fund Trust II","29.99","0.0646","up","0.22","3.51"
"PDP","Invesco DWA Momentum ETF","61.48","0.5904","up","0.97","1.81"
"PEJ","Invesco Dynamic Leisure and Entertainment ETF","43.7494","0.2626","up","0.6","-5.48"
"PEXL","Pacer US Export Leaders ETF","26.4592","0","unch","0","5.75"
"PEY","Invesco High Yield Equity Dividend Achievers ETF","18.54","-0.04","down","0.22","2.14"
"PEZ","Invesco DWA Consumer Cyclicals Momentum ETF","54.76","0","unch","0","-8.55"
"PFFD","Global X Funds","24.9598","0.0398","up","0.16","2.38"
"PFFR","ETFIS Series Trust I ETF","25.2","0.0596","up","0.24","1.05"
"PFI","Invesco DWA Financial Momentum ETF","37.5201","0.2201","up","0.59","5.55"
"PFM","Invesco Dividend Achievers ETF","29.8455","0.1635","up","0.55","7.9"
"PFXF","VanEck Vectors Preferred Securities ex Financials ETF","20.07","0.02","up","0.1","2.51"
"PGF","Invesco Financial Preferred ETF","18.7764","0.0364","up","0.19","2.13"
"PILL","Direxion Daily Pharmaceutical & Medical Bull 3X Shares","14.335","-0.335","down","2.28","-56.73"
"PJAN","Innovator ETFs Trust","27.833","0.0178","up","0.06","10.03"
"PJP","Invesco Dynamic Pharmaceuticals ETF","57.93","-0.19","down","0.33","-18.95"
"PJUL","Innovator ETFs Trust","26.1","-0.015","down","0.06","2.69"
"PJUN","Innovator ETFs Trust","26.56","0.045","up","0.17","4.35"
"PKB","Invesco Dynamic Building & Construction ETF","32.2181","0.1937","up","0.6","3.14"
"PKW","Invesco BuyBack Achievers ETF","63.63","-0.16","down","0.25","5.37"
"PLC","Principal U.S. Large-Cap Multi-Factor Core Index ETF","24.9","0","unch","0","-0.4"
"PMOM","Principal Sustainable Momentum Index ETF","28.19","0","unch","0","-6.75"
"PMR","Invesco Dynamic Retail ETF","39.62","-0.0409","down","0.1","-6.44"
"PNQI","Invesco Nasdaq Internet ETF","136.72","0.9","up","0.66","1.78"
"PPA","Invesco Aerospace & Defense ETF","68.12","0.32","up","0.47","13.76"
"PPLC","PortfolioPlus S&P 500 ETF","40.89","0.152","up","0.37","2.41"
"PPLN","J P Morgan Chase & Co","15.7898","0","unch","0","-16.98"
"PPMC","PortfolioPlus S&P Mid Cap ETF","25.2","-0.2049","down","0.81","-8.29"
"PPSC","PortfolioPlus S&P Small Cap ETF","36.5722","0","unch","0","-15.09"
"PQLC","PGIM QMA Strategic Alpha Large-Cap Core ETF","53.3817","0","unch","0","8.1"
"PQSG","PGIM QMA Strategic Alpha Small-Cap Growth ETF","50.2848","0","unch","0","0.79"
"PQSV","PGIM ETF Trust ETF PGIM QMA Strategic Alpha Small-Cap Value ET","50.4818","0","unch","0","1.65"
"PRF","Invesco FTSE RAFI US 1000 ETF","119.5307","-0.0093","down","0.01","0.78"
"PRFZ","Invesco FTSE RAFI US 1500 Small-Mid ETF","130.4","-0.06","down","0.05","-9.19"
"PRID","InsightShares LGBT Employment Equality ETF","27.9","0.1436","up","0.52","3.61"
"PRN","Invesco DWA Industrials Momentum ETF","66.4939","0.2285","up","0.34","0.88"
"PSC","Principal U.S. Small-Cap Multi-Factor Index ETF","31.66","0.3543","up","1.13","-12.06"
"PSCC","Invesco S&P SmallCap Consumer Staples ETF","77.5344","1.1844","up","1.55","-10.79"
"PSCD","Invesco S&P SmallCap Consumer Discretionary ETF","61.41","0.61","up","1","-13.43"
"PSCE","Invesco S&P SmallCap Energy ETF","7.6053","-0.1947","down","2.5","-50.32"
"PSCF","Invesco S&P SmallCap Financials ETF","54.7814","-0.1027","down","0.19","-7.88"
"PSCH","Invesco S&P SmallCap Health Care ETF","117.91","-0.44","down","0.37","-17.31"
"PSCI","Invesco S&P SmallCap Industrials ETF","68.49","-0.24","down","0.35","-8.04"
"PSCM","Invesco S&P SmallCap Materials ETF","46.22","0.0025","up","0.01","-15.46"
"PSCT","Invesco S&P SmallCap Information Technology ETF","88.9571","0.3071","up","0.35","2.37"
"PSCU","Invesco S&P SmallCap Utilities & Communication Services ETF","55.43","0.1262","up","0.23","-2.72"
"PSET","Principal Price Setters Index ETF","38.72","0.2701","up","0.7","9.05"
"PSI","Invesco Dynamic Semiconductors ETF","59.954","0.004","up","0.01","11.51"
"PSJ","Invesco Dynamic Software ETF","94.1914","0.5014","up","0.54","6.98"
"PSL","Invesco DWA Consumer Staples Momentum ETF","74.08","0.5305","up","0.72","0.88"
"PSM","Principal U.S. Small-MidCap Multi-Factor Core Index ETF","24.28","0","unch","0","-3.31"
"PSQ","ProShares Short QQQ","27.15","-0.19","down","0.69","-8.32"
"PSR","Invesco Active U.S. Real Estate Fund","94.74","0.35","up","0.37","13.14"
"PTF","Invesco DWA Technology Momentum ETF","71.8653","0.9753","up","1.38","4.63"
"PTH","Invesco DWA Healthcare Momentum ETF","82.13","0","unch","0","-16.14"
"PTLC","Pacer Funds","31.4372","0.1272","up","0.41","0.42"
"PTMC","Pacer Funds","29.4841","-0.0259","down","0.09","-12.22"
"PTNQ","Pacer Funds","36.8089","0.2289","up","0.63","2.84"
"PUI","Invesco DWA Utilities Momentum ETF","34.3583","0.2483","up","0.73","17.58"
"PVAL","Principal Contrarian Value Index ETF","26.94","0.06","up","0.22","-2.15"
"PWB","Invesco Dynamic Large Cap Growth ETF","48.8677","0.5071","up","1.05","1.47"
"PWC","Invesco Dynamic Market ETF","95.78","0.4161","up","0.44","-9.82"
"PWV","Invesco Dynamic Large Cap Value ETF","38.9","-0.1","down","0.26","3.67"
"PXE","Invesco Dynamic Energy Exploration &Production ETF","15.421","-0.309","down","1.96","-39.62"
"PXI","Invesco DWA Energy Momentum ETF","26.532","-0.558","down","2.06","-35.5"
"PXJ","Invesco Dynamic Oil & Gas Services ETF","5.17","-0.1","down","1.9","-43.21"
"PXQ","Invesco Dynamic Networking ETF","57.62","0.2535","up","0.44","-1.72"
"PYPE","UBS AG","21.5234","0","unch","0","-11.21"
"PYZ","Invesco DWA Basic Materials Momentum ETF","59.2807","0.0607","up","0.1","-13.41"
